City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
148,Havelock,US,34.8791,-76.9013,46.35,90,0,3.44,clear sky
149,Ranong,TH,9.9658,98.6348,76.93,84,36,4.09,scattered clouds
150,Omaruru,NA,-21.4333,15.9333,71.44,74,92,7.52,overcast clouds
151,Longyearbyen,SJ,78.2186,15.6401,13.84,79,75,1.14,light snow
152,Ladario,BR,-19.0047,-57.6017,75.4,37,21,2.28,few clouds
153,Prince Rupert,CA,54.3161,-130.3201,42.89,93,100,40.29,light rain
154,Saskylakh,RU,71.9167,114.0833,3.36,83,93,14.94,overcast clouds
155,Hofn,IS,64.2539,-15.2082,30.54,61,100,16.62,overcast clouds
156,Martapura,ID,-3.4167,114.85,77.09,88,20,5.75,few clouds
157,Hualmay,PE,-11.0964,-77.6139,70.38,80,66,6.8,broken clouds
158,Kavieng,PG,-2.5744,150.7967,83.82,74,100,10.13,overcast clouds
159,Mar Del Plata,AR,-38.0023,-57.5575,67.87,83,0,18.99,clear sky
160,Port Lincoln,AU,-34.7333,135.8667,69.17,59,100,9.31,overcast clouds
161,Egvekinot,RU,66.3167,-179.1667,-12.08,73,0,15.41,clear sky
162,Camocim,BR,-2.9022,-40.8411,77.67,87,15,8.21,few clouds
163,Bonfim,BR,3.0833,-59.95,84.38,53,100,5.12,overcast clouds
164,Hermanus,ZA,-34.4187,19.2345,63.9,83,0,6.55,clear sky
165,Khatanga,RU,71.9667,102.5,3.33,85,99,14.65,overcast clouds
166,Sioux Lookout,CA,50.1001,-91.917,28.78,93,100,8.05,overcast clouds
167,Den Helder,NL,52.9599,4.7593,49.95,85,100,18.41,overcast clouds
168,Marsh Harbour,BS,26.5412,-77.0636,74.07,74,0,4.14,clear sky
169,Kortkeros,RU,61.8106,51.5806,12.2,93,100,8.01,overcast clouds
170,Finschhafen,PG,-6.6024,147.8681,85.08,71,100,6.98,overcast clouds
171,Isetskoye,RU,56.4858,65.3226,8.76,95,76,7.85,broken clouds
172,Bethel,US,41.3712,-73.414,34.81,71,2,3.0,clear sky
173,Ribeira Grande,PT,38.5167,-28.7,60.12,71,28,5.95,scattered clouds
174,Araouane,ML,18.9048,-3.5265,65.71,11,0,11.34,clear sky
175,Mehamn,NO,71.0357,27.8492,20.1,88,100,13.8,overcast clouds
176,Prince Albert,CA,53.2001,-105.7677,33.75,69,75,12.66,broken clouds
177,Kasongo-Lunda,CD,-6.4667,16.8167,70.29,94,100,0.85,overcast clouds
178,Sitka,US,57.0531,-135.33,42.69,87,100,11.5,light rain
179,Inuvik,CA,68.3499,-133.7218,-34.56,67,20,3.44,few clouds
180,Saint Anthony,US,45.0205,-93.218,39.22,69,100,14.97,overcast clouds
181,Vanimo,PG,-2.6741,141.3028,84.87,69,32,4.38,scattered clouds
182,Vila Do Maio,CV,15.1333,-23.2167,71.55,80,0,9.51,clear sky
183,Ukiah,US,39.1502,-123.2078,78.69,22,0,4.61,clear sky
184,Tagusao,PH,9.1924,117.8141,82.18,69,100,5.19,overcast clouds
185,Castro,BR,-24.7911,-50.0119,61.38,97,14,8.34,few clouds
186,Vao,NC,-22.6667,167.4833,81.18,86,100,19.55,overcast clouds
187,Narimanov,RU,46.6927,47.8498,30.11,74,100,11.27,overcast clouds
188,Vila Velha,BR,-20.3297,-40.2925,78.94,86,20,9.22,heavy intensity rain
189,Chokurdakh,RU,70.6333,147.9167,-42.99,100,99,5.64,overcast clouds
190,Arraial Do Cabo,BR,-22.9661,-42.0278,72.28,90,100,12.91,overcast clouds
191,Karabanovo,RU,56.3167,38.7,24.98,91,99,6.42,overcast clouds
192,Broken Hill,AU,-31.95,141.4333,82.11,42,9,8.05,clear sky
193,Wencheng,CN,33.0559,113.7978,37.56,69,99,3.11,overcast clouds
194,Arnprior,CA,45.4334,-76.3494,29.14,94,52,4.65,broken clouds
195,Vaitape,PF,-16.5167,-151.75,81.36,76,52,18.39,broken clouds
196,Bambous Virieux,MU,-20.3428,57.7575,75.45,88,75,3.44,broken clouds
197,Sibiti,CG,-3.6819,13.3499,68.16,98,97,2.13,light rain
198,Verkhoyansk,RU,67.5447,133.385,-43.19,98,96,1.23,overcast clouds
199,Port Said,EG,31.2565,32.2841,57.18,82,40,8.05,scattered clouds
200,Tera,NE,14.0078,0.7531,71.71,12,0,9.22,clear sky
201,Taltal,CL,-25.4,-70.4833,67.01,77,3,5.19,clear sky
202,Dali,CN,25.7,100.1833,39.65,67,83,2.53,broken clouds
203,Jalu,LY,29.0331,21.5482,51.89,50,5,12.55,clear sky
204,Los Chiles,CR,11.0333,-84.7167,76.12,73,19,7.36,few clouds
205,Flinders,AU,-34.5833,150.8552,87.06,50,0,11.99,clear sky
206,Puerto Madryn,AR,-42.7692,-65.0385,64.54,66,44,21.85,scattered clouds
207,Toppenish,US,46.3774,-120.3087,49.86,66,100,3.4,overcast clouds
208,Pisco,PE,-13.7,-76.2167,71.02,83,0,4.61,clear sky
209,Cidreira,BR,-30.1811,-50.2056,69.82,75,0,8.43,clear sky
210,Umm Kaddadah,SD,13.6017,26.6876,60.28,21,5,12.24,clear sky
211,Zabaykalsk,RU,49.6333,117.3167,0.9,96,99,6.71,overcast clouds
212,Vila Franca Do Campo,PT,37.7167,-25.4333,57.2,77,84,6.33,broken clouds
213,Ossora,RU,59.2353,163.0719,8.58,93,100,7.07,light snow
214,Pagudpud,PH,18.5616,120.7868,76.96,74,22,10.4,few clouds
215,Sunbury,AU,-37.5833,144.7333,80.02,50,75,9.22,broken clouds
216,Port Elizabeth,ZA,-33.918,25.5701,62.89,94,75,16.11,broken clouds
217,Tateyama,JP,34.9833,139.8667,47.1,62,100,14.56,overcast clouds
218,Whyalla,AU,-33.0333,137.5833,71.49,73,75,9.22,broken clouds
219,Eyl,SO,7.9803,49.8164,71.2,75,9,13.87,clear sky
220,Provideniya,RU,64.3833,-173.3,-2.09,60,0,8.95,clear sky
221,Inhambane,MZ,-23.865,35.3833,71.02,92,0,5.55,clear sky
222,Ahipara,NZ,-35.1667,173.1667,81.48,64,9,12.68,clear sky
223,Hasaki,JP,35.7333,140.8333,43.29,54,90,19.35,overcast clouds
224,Richards Bay,ZA,-28.783,32.0377,67.42,93,0,3.51,clear sky
225,Tambura,SS,5.6,27.4667,68.18,23,94,4.9,overcast clouds
226,Adelaide,AU,-34.9333,138.6,75.42,60,75,10.36,broken clouds
227,Pathein,MM,16.7833,94.7333,65.89,63,99,5.28,overcast clouds
228,Naze,JP,28.3667,129.4833,58.12,69,87,9.98,overcast clouds
229,Katsuura,JP,35.1333,140.3,47.19,61,100,16.42,overcast clouds
230,Shimoda,JP,34.6667,138.95,44.96,59,100,16.78,overcast clouds
231,Arman,RU,59.7,150.1667,6.22,75,50,7.0,scattered clouds
232,Oranjestad,AW,12.524,-70.027,80.55,78,40,13.8,scattered clouds
233,Huruta,ET,8.15,39.35,56.44,63,70,5.06,broken clouds
234,Atar,MR,20.5169,-13.0499,72.07,11,100,8.59,overcast clouds
235,Barao De Melgaco,BR,-16.1944,-55.9675,79.32,90,100,2.04,moderate rain
236,Matay,EG,28.419,30.7792,55.51,27,0,5.73,clear sky
237,Fonte Boa,BR,-2.4959,-66.2662,70.99,99,99,1.12,light rain
238,Isangel,VU,-19.55,169.2667,78.67,92,100,36.06,overcast clouds
239,Syriam,MM,16.7722,96.2378,66.31,94,99,2.3,mist
240,Nhulunbuy,AU,-12.2333,136.7667,86.61,70,40,9.22,scattered clouds
241,Aswan,EG,24.0934,32.907,60.1,25,0,5.75,clear sky
242,Adrar,MR,20.5022,-10.0711,65.34,11,100,10.36,overcast clouds
243,Henderson,US,36.0397,-114.9819,76.44,15,0,12.66,clear sky
244,Puerto Colombia,CO,10.9878,-74.9547,80.69,86,9,19.24,clear sky
245,Comodoro Rivadavia,AR,-45.8667,-67.5,64.26,39,0,17.27,clear sky
246,Ust-Nera,RU,64.5667,143.2,-21.69,93,53,3.98,broken clouds
247,Juneau,US,58.3019,-134.4197,43.21,96,100,16.11,light rain
248,Kokstad,ZA,-30.5472,29.4241,57.74,65,0,4.79,clear sky
249,Hobyo,SO,5.3505,48.5268,75.6,73,0,20.09,clear sky
250,Dryden,CA,49.7833,-92.7503,28.69,93,100,11.5,overcast clouds
251,Ati,TD,13.2154,18.3353,63.36,12,0,10.13,clear sky
252,Price,US,39.5994,-110.8107,51.06,18,0,12.66,clear sky
253,Melfort,CA,52.8667,-104.6177,28.53,80,100,9.22,overcast clouds
254,Khash,IR,28.2211,61.2158,42.51,41,0,2.68,clear sky
255,Chulman,RU,56.8479,124.9104,-28.77,100,100,0.34,overcast clouds
256,Cochrane,CA,51.1834,-114.4687,47.84,33,0,20.71,clear sky
257,Cabra,ES,37.4725,-4.4421,48.18,71,0,4.72,clear sky
258,Bay Roberts,CA,47.5999,-53.2648,32.5,87,100,7.0,overcast clouds
259,Okhotsk,RU,59.3833,143.3,9.95,77,100,10.36,overcast clouds
260,Spring Hill,US,28.4769,-82.5255,53.89,94,100,5.75,overcast clouds
261,Tucurui,BR,-3.7661,-49.6725,73.81,96,100,2.93,heavy intensity rain
262,Ochakiv,UA,46.6128,31.5498,30.34,67,59,14.38,broken clouds
263,Gazojak,TM,41.1875,61.4036,30.85,89,97,7.96,overcast clouds
264,Dunda,TZ,-8.1167,34.25,62.92,98,100,1.79,light rain
265,Yerbogachen,RU,61.2767,108.0108,-29.16,100,100,2.84,overcast clouds
266,Nelson Bay,AU,-32.7167,152.15,86.29,57,2,3.0,clear sky
267,Ponta Do Sol,PT,32.6667,-17.1,69.01,54,100,10.94,overcast clouds
268,Emerald,AU,-23.5333,148.1667,83.34,54,0,6.91,clear sky
269,Hamilton,US,39.1834,-84.5333,41.63,70,0,6.91,clear sky
270,Inderka,RU,53.2485,46.2582,29.43,96,100,12.01,light snow
271,Iqaluit,CA,63.7506,-68.5145,-0.31,84,100,12.66,light snow
272,Saint-Pierre,RE,-21.3393,55.4781,74.88,78,0,5.75,clear sky
