City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
241,Aswan,EG,60.1,clear sky,24.0934,32.907,Nuba Nile
242,Adrar,MR,65.34,overcast clouds,20.5022,-10.0711,
243,Henderson,US,76.44,clear sky,36.0397,-114.9819,Hawthorn Suites By Wyndham Las Vegas/Henderson
244,Puerto Colombia,CO,80.69,clear sky,10.9878,-74.9547,Hotel El Emigrante
245,Comodoro Rivadavia,AR,64.26,clear sky,-45.8667,-67.5,Austral Hotel
249,Hobyo,SO,75.6,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
251,Ati,TD,63.36,clear sky,13.2154,18.3353,
261,Tucurui,BR,73.81,heavy intensity rain,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
264,Dunda,TZ,62.92,light rain,-8.1167,34.25,
266,Nelson Bay,AU,86.29,clear sky,-32.7167,152.15,Mantra Nelson Bay
267,Ponta Do Sol,PT,69.01,overcast clouds,32.6667,-17.1,Hotel do Campo
268,Emerald,AU,83.34,clear sky,-23.5333,148.1667,The Irish Village
272,Saint-Pierre,RE,74.88,clear sky,-21.3393,55.4781,Lindsey Hôtel
274,Marsabit,KE,69.8,clear sky,2.3284,37.9899,Chicho Hotel
275,Buala,SB,80.69,moderate rain,-8.145,159.5921,Maringe Lagoon Lodge
276,Maues,BR,73.96,light rain,-3.3836,-57.7186,Hotel Miramar
278,Vallenar,CL,70.07,broken clouds,-28.5708,-70.7581,Humacao Bed & Breakfast
279,Tiznit,MA,62.24,clear sky,29.5833,-9.5,
280,Santa Cruz,BO,80.06,scattered clouds,-17.8,-63.1667,Aviador Hotel Boutique
281,Port-Gentil,GA,80.51,light rain,-0.7193,8.7815,Fengshui Residence
283,Balingasay,PH,79.9,broken clouds,16.3573,119.8564,Rock Garden Resort
284,Reconquista,AR,74.48,clear sky,-29.15,-59.65,Grand Hotel
285,Katobu,ID,80.64,overcast clouds,-4.9408,122.5276,La Ode Husein
288,Robertsport,LR,79.95,clear sky,6.7533,-11.3686,Kwepunha Retreat
289,Santiago Del Estero,AR,77.81,clear sky,-27.7951,-64.2615,Apartamentos Castelli 90
290,Lethem,GY,83.21,overcast clouds,3.3803,-59.7968,Savannah Inn
300,Magaria,NE,65.32,clear sky,12.9983,8.9099,Chez Honorable Chapiou
301,Ternate,ID,81.54,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
302,Antofagasta,CL,65.86,clear sky,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
304,Rio Grande,BR,66.94,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
